"Year","Month","Day","Hour","Temp_15cm"
2014,4,19,6,16.45
2014,4,19,7,16.2
2014,4,19,8,16.9
2014,4,19,9,15.7
2014,4,19,10,15
2014,4,19,11,15.1
2014,4,19,12,15.3
2014,4,19,13,15.9
2014,4,19,14,16.4
2014,4,19,15,16.75
2014,4,19,16,17.1
2014,4,19,17,17.1
2014,4,19,18,16.95
2014,4,19,19,16.85
2014,4,19,20,16.7
2014,4,19,21,17
2014,4,19,22,16.2
2014,4,19,23,16.05
2014,4,20,0,16.1
2014,4,20,1,15.6
2014,4,20,2,15.45
2014,4,20,3,15.4
2014,4,20,4,14.9
2014,4,20,5,14.9
2014,4,20,6,14.85
2014,4,20,7,14.4
2014,4,20,8,14.3
2014,4,20,9,14.15
2014,4,20,10,14.35
2014,4,20,11,14.6
2014,4,20,12,15.05
2014,4,20,13,15.15
2014,4,20,14,15.25
2014,4,20,15,15.3
2014,4,20,16,15.45
2014,4,20,17,15.6
2014,4,20,18,15.6
2014,4,20,19,15.4
2014,4,20,20,15.5
2014,4,20,21,15.65
2014,4,20,22,15.55
2014,4,20,23,15.2
2014,4,21,0,14.8
2014,4,21,1,15
2014,4,21,2,15.05
2014,4,21,3,15.1
2014,4,21,4,14.8
2014,4,21,5,14.45
2014,4,21,6,14.2
2014,4,21,7,14.2
2014,4,21,8,14.3
2014,4,21,9,14.65
2014,4,21,10,14.5
2014,4,21,11,14.15
2014,4,21,12,14.75
2014,4,21,13,14.75
2014,4,21,14,15.25
2014,4,21,15,16.5
2014,4,21,16,16.7
2014,4,21,17,16.75
2014,4,21,18,16.25
2014,4,21,19,15.8
2014,4,21,20,15.55
2014,4,21,21,15.3
2014,4,21,22,15.15
2014,4,21,23,15.05
2014,4,22,0,14.9
2014,4,22,1,14.9
2014,4,22,2,14.7
2014,4,22,3,14.4
2014,4,22,4,14.3
2014,4,22,5,14.2
2014,4,22,6,14.2
2014,4,22,7,14.55
2014,4,22,8,14.4
2014,4,22,9,14.1
2014,4,22,10,13.95
2014,4,22,11,14.25
2014,4,22,12,14.4
2014,4,22,13,14.5
2014,4,22,14,15.35
2014,4,22,15,15.6
2014,4,22,16,15.8
2014,4,22,17,16.45
2014,4,22,18,15.7
2014,4,22,19,15.45
2014,4,22,20,15.45
2014,4,22,21,15.2
2014,4,22,22,15.1
2014,4,22,23,14.9
2014,4,23,0,14.9
2014,4,23,1,14.6
2014,4,23,2,14.4
2014,4,23,3,14.4
2014,4,23,4,14.4
2014,4,23,5,14.35
2014,4,23,6,14.2
2014,4,23,7,14.2
2014,4,23,8,14.2
2014,4,23,9,14.1
2014,4,23,10,14.2
2014,4,23,11,14.65
2014,4,23,12,15
2014,4,23,13,15
2014,4,23,14,15.25
2014,4,23,15,15.5
2014,4,23,16,15.6
2014,4,23,17,15.65
2014,4,23,18,16.4
2014,4,23,19,16.1
2014,4,23,20,16.75
2014,4,23,21,15.5
2014,4,23,22,15.3
2014,4,23,23,15.45
2014,4,24,0,15.45
2014,4,24,1,15.45
2014,4,24,2,15.2
2014,4,24,3,15.2
2014,4,24,4,14.9
2014,4,24,5,14.6
2014,4,24,6,14.6
2014,4,24,7,14.6
2014,4,24,8,14.5
2014,4,24,9,14.3
2014,4,24,10,14.4
2014,4,24,11,14.75
2014,4,24,12,15.1
2014,4,24,13,15.1
2014,4,24,14,15.6
2014,4,24,15,15.75
2014,4,24,16,15.9
2014,4,24,17,16.55
2014,4,24,18,16.3
2014,4,24,19,16.2
2014,4,24,20,15.8
2014,4,24,21,15.8
2014,4,24,22,15.7
2014,4,24,23,15.7
2014,4,25,0,15.45
2014,4,25,1,15.15
2014,4,25,2,15
2014,4,25,3,14.9
2014,4,25,4,14.75
2014,4,25,5,14.6
2014,4,25,6,14.6
2014,4,25,7,14.6
2014,4,25,8,14.4
2014,4,25,9,14.3
2014,4,25,10,14.4
2014,4,25,11,14.4
2014,4,25,12,14.55
2014,4,25,13,14.85
2014,4,25,14,14.9
2014,4,25,15,15.1
2014,4,25,16,15.1
2014,4,25,17,15.1
2014,4,25,18,15.3
2014,4,25,19,15.3
2014,4,25,20,15.3
2014,4,25,21,15.35
2014,4,25,22,15.25
2014,4,25,23,15.1
2014,4,26,0,15
2014,4,26,1,14.9
2014,4,26,2,14.9
2014,4,26,3,14.9
2014,4,26,4,14.5
2014,4,26,5,14.4
2014,4,26,6,14.4
2014,4,26,7,14.4
2014,4,26,8,14.25
2014,4,26,9,14.2
2014,4,26,10,14.2
2014,4,26,11,14.3
2014,4,26,12,14.45
2014,4,26,13,15.05
2014,4,26,14,15
2014,4,26,15,15.1
2014,4,26,16,15.3
2014,4,26,17,15.45
2014,4,26,18,16.35
2014,4,26,19,16.15
2014,4,26,20,15.8
2014,4,26,21,15.65
2014,4,26,22,15.2
2014,4,26,23,15
2014,4,27,0,14.9
2014,4,27,1,15.15
2014,4,27,2,14.9
2014,4,27,3,15
2014,4,27,4,14.9
2014,4,27,5,14.45
2014,4,27,6,14.4
2014,4,27,7,14.25
2014,4,27,8,14.2
2014,4,27,9,14.05
2014,4,27,10,14.05
2014,4,27,11,13.9
2014,4,27,12,14.2
2014,4,27,13,14.3
2014,4,27,14,14.4
2014,4,27,15,14.75
2014,4,27,16,14.9
2014,4,27,17,15.05
2014,4,27,18,15.1
2014,4,27,19,15
2014,4,27,20,14.9
2014,4,27,21,14.6
2014,4,27,22,14.4
2014,4,27,23,14.4
2014,4,28,0,14.4
2014,4,28,1,14.4
2014,4,28,2,14.2
2014,4,28,3,14.4
2014,4,28,4,14.4
2014,4,28,5,14.4
2014,4,28,6,14.2
2014,4,28,7,14.2
2014,4,28,8,13.9
2014,4,28,9,13.9
2014,4,28,10,14.15
2014,4,28,11,14.6
2014,4,28,12,15.4
2014,4,28,13,15.2
2014,4,28,14,15.45
2014,4,28,15,16.2
2014,4,28,16,16.55
2014,4,28,17,16.3
2014,4,28,18,16.7
2014,4,28,19,16.85
2014,4,28,20,17.15
2014,4,28,21,16.4
2014,4,28,22,16.3
2014,4,28,23,15.75
2014,4,29,0,15.75
2014,4,29,1,15.3
2014,4,29,2,15.75
2014,4,29,3,15
2014,4,29,4,15.1
2014,4,29,5,15.35
2014,4,29,6,15.65
2014,4,29,7,14.85
2014,4,29,8,14.65
2014,4,29,9,14.4
2014,4,29,10,14.3
2014,4,29,11,14.8
2014,4,29,12,15.3
2014,4,29,13,15.2
2014,4,29,14,15.45
2014,4,29,15,15.6
2014,4,29,16,15.8
2014,4,29,17,15.8
2014,4,29,18,16.1
2014,4,29,19,16.1
2014,4,29,20,16.1
2014,4,29,21,16.1
2014,4,29,22,16.45
2014,4,29,23,16.05
2014,4,30,0,16.15
2014,4,30,1,16.05
2014,4,30,2,15.85
2014,4,30,3,15.95
2014,4,30,4,15.95
2014,4,30,5,15.8
2014,4,30,6,16.35
2014,4,30,7,16.45
2014,4,30,8,16
2014,4,30,9,15.3
2014,4,30,10,15.3
2014,4,30,11,15.3
2014,4,30,12,15.6
2014,4,30,13,15.7
2014,4,30,14,16.05
2014,4,30,15,16.2
2014,4,30,16,16.3
2014,4,30,17,16.15
